[Whisper_FUZZ] Use CPU.
Total Parameters: 692801
Epoch:  0, train loss:  0.1970, test loss:  0.1135, AUC:  0.9860, F1:  0.9037, Percision:  0.9789, Recall:  0.8498, F2:  0.8694, FPR:  0.0008, TPR:  0.7004, EER:  0.0708, MCC:  0.8186, ACC:  0.9900, Test Time: 35.7090 s, Test Speed: 145621.56 PPS.
Epoch:  1, train loss:  0.1045, test loss:  0.1363, AUC:  0.9844, F1:  0.8839, Percision:  0.9811, Recall:  0.8208, F2:  0.8432, FPR:  0.0006, TPR:  0.6422, EER:  0.0836, MCC:  0.7857, ACC:  0.9884, Test Time: 40.8467 s, Test Speed: 127305.34 PPS.
Epoch:  2, train loss:  0.0889, test loss:  0.1476, AUC:  0.9920, F1:  0.8693, Percision:  0.9903, Recall:  0.7980, F2:  0.8226, FPR:  0.0001, TPR:  0.5961, EER:  0.0533, MCC:  0.7645, ACC:  0.9874, Test Time: 27.2488 s, Test Speed: 190834.33 PPS.
Epoch:  3, train loss:  0.0765, test loss:  0.0857, AUC:  0.9931, F1:  0.9301, Percision:  0.9907, Recall:  0.8835, F2:  0.9008, FPR:  0.0003, TPR:  0.7672, EER:  0.0477, MCC:  0.8676, ACC:  0.9925, Test Time: 27.7024 s, Test Speed: 187709.66 PPS.
Epoch:  4, train loss:  0.0742, test loss:  0.3027, AUC:  0.9872, F1:  0.7045, Percision:  0.9874, Recall:  0.6332, F2:  0.6538, FPR:  0.0000, TPR:  0.2665, EER:  0.0690, MCC:  0.5097, ACC:  0.9772, Test Time: 27.5494 s, Test Speed: 188752.14 PPS.
Epoch:  5, train loss:  0.0647, test loss:  0.1517, AUC:  0.9912, F1:  0.8753, Percision:  0.9919, Recall:  0.8050, F2:  0.8294, FPR:  0.0001, TPR:  0.6101, EER:  0.0583, MCC:  0.7747, ACC:  0.9878, Test Time: 27.5720 s, Test Speed: 188596.96 PPS.
Epoch:  6, train loss:  0.0662, test loss:  0.0727, AUC:  0.9971, F1:  0.9411, Percision:  0.9933, Recall:  0.8994, F2:  0.9151, FPR:  0.0002, TPR:  0.7991, EER:  0.0288, MCC:  0.8878, ACC:  0.9936, Test Time: 27.5624 s, Test Speed: 188663.09 PPS.
Epoch:  7, train loss:  0.0606, test loss:  0.0752, AUC:  0.9969, F1:  0.9381, Percision:  0.9927, Recall:  0.8950, F2:  0.9111, FPR:  0.0002, TPR:  0.7901, EER:  0.0293, MCC:  0.8823, ACC:  0.9933, Test Time: 27.9523 s, Test Speed: 186031.09 PPS.
Epoch:  8, train loss:  0.0539, test loss:  0.0630, AUC:  0.9975, F1:  0.9477, Percision:  0.9918, Recall:  0.9113, F2:  0.9251, FPR:  0.0003, TPR:  0.8229, EER:  0.0262, MCC:  0.8995, ACC:  0.9942, Test Time: 27.6473 s, Test Speed: 188083.53 PPS.
Epoch:  9, train loss:  0.0567, test loss:  0.1273, AUC:  0.9971, F1:  0.8947, Percision:  0.9933, Recall:  0.8304, F2:  0.8532, FPR:  0.0001, TPR:  0.6608, EER:  0.0280, MCC:  0.8074, ACC:  0.9894, Test Time: 26.6368 s, Test Speed: 195218.65 PPS.
Epoch: 10, train loss:  0.0489, test loss:  0.0564, AUC:  0.9972, F1:  0.9527, Percision:  0.9931, Recall:  0.9188, F2:  0.9317, FPR:  0.0002, TPR:  0.8379, EER:  0.0253, MCC:  0.9088, ACC:  0.9947, Test Time: 35.9972 s, Test Speed: 144455.76 PPS.
Epoch: 11, train loss:  0.0459, test loss:  0.0584, AUC:  0.9978, F1:  0.9514, Percision:  0.9939, Recall:  0.9161, F2:  0.9295, FPR:  0.0002, TPR:  0.8323, EER:  0.0223, MCC:  0.9066, ACC:  0.9946, Test Time: 27.1538 s, Test Speed: 191501.63 PPS.
Epoch: 12, train loss:  0.0428, test loss:  0.0394, AUC:  0.9983, F1:  0.9668, Percision:  0.9881, Recall:  0.9475, F2:  0.9550, FPR:  0.0006, TPR:  0.8955, EER:  0.0191, MCC:  0.9347, ACC:  0.9962, Test Time: 26.9040 s, Test Speed: 193279.92 PPS.
Epoch: 13, train loss:  0.0407, test loss:  0.0488, AUC:  0.9981, F1:  0.9592, Percision:  0.9922, Recall:  0.9306, F2:  0.9416, FPR:  0.0003, TPR:  0.8615, EER:  0.0200, MCC:  0.9207, ACC:  0.9954, Test Time: 27.5915 s, Test Speed: 188464.02 PPS.
Epoch: 14, train loss:  0.0393, test loss:  0.0657, AUC:  0.9971, F1:  0.9461, Percision:  0.9946, Recall:  0.9067, F2:  0.9215, FPR:  0.0001, TPR:  0.8135, EER:  0.0266, MCC:  0.8970, ACC:  0.9941, Test Time: 26.7588 s, Test Speed: 194328.93 PPS.
