[Whisper_SSDPDOS] Use CPU.
Total Parameters: 692801
Epoch:  0, train loss:  0.1858, test loss:  0.0698, AUC:  0.9967, F1:  0.9390, Percision:  0.9762, Recall:  0.9074, F2:  0.9194, FPR:  0.0010, TPR:  0.8158, EER:  0.0069, MCC:  0.8809, ACC:  0.9940, Test Time: 40.5579 s, Test Speed: 128211.66 PPS.
Epoch:  1, train loss:  0.0742, test loss:  0.0285, AUC:  0.9958, F1:  0.9755, Percision:  0.9657, Recall:  0.9858, F2:  0.9817, FPR:  0.0020, TPR:  0.9736, EER:  0.0058, MCC:  0.9513, ACC:  0.9974, Test Time: 27.6396 s, Test Speed: 188135.73 PPS.
Epoch:  2, train loss:  0.0501, test loss:  0.0259, AUC:  0.9958, F1:  0.9784, Percision:  0.9702, Recall:  0.9869, F2:  0.9834, FPR:  0.0017, TPR:  0.9754, EER:  0.0071, MCC:  0.9570, ACC:  0.9977, Test Time: 27.6842 s, Test Speed: 187832.78 PPS.
Epoch:  3, train loss:  0.0403, test loss:  0.0535, AUC:  0.9977, F1:  0.9551, Percision:  0.9263, Recall:  0.9882, F2:  0.9744, FPR:  0.0047, TPR:  0.9812, EER:  0.0066, MCC:  0.9125, ACC:  0.9949, Test Time: 27.5236 s, Test Speed: 188929.04 PPS.
Epoch:  4, train loss:  0.0349, test loss:  0.0253, AUC:  0.9985, F1:  0.9783, Percision:  0.9668, Recall:  0.9904, F2:  0.9855, FPR:  0.0019, TPR:  0.9828, EER:  0.0049, MCC:  0.9569, ACC:  0.9977, Test Time: 27.5042 s, Test Speed: 189061.98 PPS.
Epoch:  5, train loss:  0.0297, test loss:  0.0242, AUC:  0.9983, F1:  0.9793, Percision:  0.9680, Recall:  0.9911, F2:  0.9863, FPR:  0.0019, TPR:  0.9840, EER:  0.0047, MCC:  0.9588, ACC:  0.9978, Test Time: 27.7089 s, Test Speed: 187665.37 PPS.
Epoch:  6, train loss:  0.0271, test loss:  0.0215, AUC:  0.9994, F1:  0.9818, Percision:  0.9768, Recall:  0.9869, F2:  0.9848, FPR:  0.0013, TPR:  0.9750, EER:  0.0039, MCC:  0.9636, ACC:  0.9981, Test Time: 27.4756 s, Test Speed: 189258.89 PPS.
Epoch:  7, train loss:  0.0278, test loss:  0.0236, AUC:  0.9987, F1:  0.9805, Percision:  0.9816, Recall:  0.9794, F2:  0.9798, FPR:  0.0010, TPR:  0.9598, EER:  0.0037, MCC:  0.9610, ACC:  0.9980, Test Time: 27.4097 s, Test Speed: 189713.77 PPS.
Epoch:  8, train loss:  0.0243, test loss:  0.0202, AUC:  0.9980, F1:  0.9832, Percision:  0.9813, Recall:  0.9852, F2:  0.9844, FPR:  0.0010, TPR:  0.9714, EER:  0.0038, MCC:  0.9664, ACC:  0.9982, Test Time: 34.2501 s, Test Speed: 151824.42 PPS.
Epoch:  9, train loss:  0.0222, test loss:  0.0186, AUC:  0.9996, F1:  0.9841, Percision:  0.9756, Recall:  0.9929, F2:  0.9893, FPR:  0.0014, TPR:  0.9872, EER:  0.0037, MCC:  0.9683, ACC:  0.9983, Test Time: 27.3830 s, Test Speed: 189899.19 PPS.
Epoch: 10, train loss:  0.0225, test loss:  0.0195, AUC:  0.9996, F1:  0.9840, Percision:  0.9888, Recall:  0.9794, F2:  0.9812, FPR:  0.0006, TPR:  0.9593, EER:  0.0036, MCC:  0.9681, ACC:  0.9983, Test Time: 30.4922 s, Test Speed: 170535.40 PPS.
Epoch: 11, train loss:  0.0208, test loss:  0.0182, AUC:  0.9993, F1:  0.9845, Percision:  0.9816, Recall:  0.9875, F2:  0.9863, FPR:  0.0010, TPR:  0.9760, EER:  0.0033, MCC:  0.9691, ACC:  0.9984, Test Time: 27.7256 s, Test Speed: 187552.25 PPS.
Epoch: 12, train loss:  0.0196, test loss:  0.0204, AUC:  0.9995, F1:  0.9825, Percision:  0.9803, Recall:  0.9847, F2:  0.9838, FPR:  0.0011, TPR:  0.9705, EER:  0.0036, MCC:  0.9650, ACC:  0.9981, Test Time: 27.2896 s, Test Speed: 190549.10 PPS.
Epoch: 13, train loss:  0.0175, test loss:  0.0285, AUC:  0.9973, F1:  0.9767, Percision:  0.9835, Recall:  0.9701, F2:  0.9727, FPR:  0.0008, TPR:  0.9410, EER:  0.0079, MCC:  0.9534, ACC:  0.9976, Test Time: 27.6649 s, Test Speed: 187963.95 PPS.
Epoch: 14, train loss:  0.0189, test loss:  0.0181, AUC:  0.9989, F1:  0.9844, Percision:  0.9815, Recall:  0.9873, F2:  0.9861, FPR:  0.0010, TPR:  0.9756, EER:  0.0038, MCC:  0.9688, ACC:  0.9983, Test Time: 27.4814 s, Test Speed: 189219.12 PPS.
