[Whisper_SYNDOS] Use CPU.
Total Parameters: 692801
Epoch:  1, train loss:  0.3328, test loss:  0.4344, AUC:  0.9226, F1:  0.5955, Percision:  0.5932, Recall:  0.5979, F2:  0.5969, FPR:  0.0169, TPR:  0.2127, EER:  0.1416, MCC:  0.1910, ACC:  0.9679, Test Time: 40.1384 s, Test Speed: 129551.72 PPS.
Epoch:  2, train loss:  0.2434, test loss:  0.2197, AUC:  0.9895, F1:  0.7944, Percision:  0.9009, Recall:  0.7338, F2:  0.7546, FPR:  0.0022, TPR:  0.4698, EER:  0.0494, MCC:  0.6123, ACC:  0.9874, Test Time: 26.0060 s, Test Speed: 199953.74 PPS.
Epoch:  3, train loss:  0.1690, test loss:  0.2589, AUC:  0.9916, F1:  0.7629, Percision:  0.9585, Recall:  0.6862, F2:  0.7104, FPR:  0.0006, TPR:  0.3731, EER:  0.0422, MCC:  0.5845, ACC:  0.9870, Test Time: 27.1186 s, Test Speed: 191750.01 PPS.
Epoch:  4, train loss:  0.1060, test loss:  0.0714, AUC:  0.9961, F1:  0.9388, Percision:  0.9700, Recall:  0.9117, F2:  0.9221, FPR:  0.0010, TPR:  0.8243, EER:  0.0157, MCC:  0.8798, ACC:  0.9956, Test Time: 26.9302 s, Test Speed: 193092.10 PPS.
Epoch:  5, train loss:  0.0684, test loss:  0.2364, AUC:  0.9831, F1:  0.7846, Percision:  0.8859, Recall:  0.7265, F2:  0.7464, FPR:  0.0026, TPR:  0.4556, EER:  0.0556, MCC:  0.5913, ACC:  0.9867, Test Time: 26.6958 s, Test Speed: 194787.22 PPS.
Epoch:  6, train loss:  0.0550, test loss:  0.1041, AUC:  0.9963, F1:  0.9074, Percision:  0.9923, Recall:  0.8482, F2:  0.8695, FPR:  0.0001, TPR:  0.6964, EER:  0.0112, MCC:  0.8280, ACC:  0.9939, Test Time: 27.2677 s, Test Speed: 190702.10 PPS.
Epoch:  7, train loss:  0.0514, test loss:  0.0336, AUC:  0.9967, F1:  0.9711, Percision:  0.9914, Recall:  0.9524, F2:  0.9597, FPR:  0.0003, TPR:  0.9051, EER:  0.0048, MCC:  0.9430, ACC:  0.9978, Test Time: 27.0658 s, Test Speed: 192124.60 PPS.
Epoch:  8, train loss:  0.0459, test loss:  0.1743, AUC:  0.9946, F1:  0.8417, Percision:  0.9746, Recall:  0.7682, F2:  0.7932, FPR:  0.0005, TPR:  0.5369, EER:  0.0194, MCC:  0.7136, ACC:  0.9904, Test Time: 27.2169 s, Test Speed: 191057.47 PPS.
Epoch:  9, train loss:  0.0410, test loss:  0.0209, AUC:  0.9968, F1:  0.9833, Percision:  0.9846, Recall:  0.9819, F2:  0.9825, FPR:  0.0006, TPR:  0.9644, EER:  0.0054, MCC:  0.9665, ACC:  0.9987, Test Time: 27.2041 s, Test Speed: 191148.00 PPS.
Epoch: 10, train loss:  0.0341, test loss:  0.1328, AUC:  0.9964, F1:  0.8772, Percision:  0.9908, Recall:  0.8073, F2:  0.8317, FPR:  0.0001, TPR:  0.6147, EER:  0.0113, MCC:  0.7767, ACC:  0.9923, Test Time: 27.1881 s, Test Speed: 191260.40 PPS.
Epoch: 11, train loss:  0.0344, test loss:  0.0174, AUC:  0.9969, F1:  0.9862, Percision:  0.9910, Recall:  0.9815, F2:  0.9834, FPR:  0.0003, TPR:  0.9634, EER:  0.0039, MCC:  0.9725, ACC:  0.9989, Test Time: 26.9296 s, Test Speed: 193095.88 PPS.
Epoch: 12, train loss:  0.0339, test loss:  0.0271, AUC:  0.9967, F1:  0.9776, Percision:  0.9786, Recall:  0.9765, F2:  0.9769, FPR:  0.0008, TPR:  0.9539, EER:  0.0074, MCC:  0.9551, ACC:  0.9983, Test Time: 28.1251 s, Test Speed: 184888.25 PPS.
Epoch: 13, train loss:  0.0277, test loss:  0.1406, AUC:  0.9952, F1:  0.8712, Percision:  0.9838, Recall:  0.8021, F2:  0.8262, FPR:  0.0003, TPR:  0.6045, EER:  0.0201, MCC:  0.7646, ACC:  0.9919, Test Time: 31.7140 s, Test Speed: 163965.65 PPS.
Epoch: 14, train loss:  0.0246, test loss:  0.0286, AUC:  0.9968, F1:  0.9757, Percision:  0.9946, Recall:  0.9583, F2:  0.9651, FPR:  0.0002, TPR:  0.9168, EER:  0.0048, MCC:  0.9522, ACC:  0.9982, Test Time: 25.3184 s, Test Speed: 205383.88 PPS.
