[Whisper_UDPDOS] Use CPU.
Total Parameters: 692801
Epoch:  0, train loss:  0.1811, test loss:  0.3132, AUC:  0.9353, F1:  0.7577, Percision:  0.9094, Recall:  0.7012, F2:  0.7179, FPR:  0.0068, TPR:  0.4092, EER:  0.1619, MCC:  0.5740, ACC:  0.9134, Test Time: 31.2338 s, Test Speed: 182494.57 PPS.
Epoch:  1, train loss:  0.1240, test loss:  0.0468, AUC:  0.9866, F1:  0.9718, Percision:  0.9856, Recall:  0.9591, F2:  0.9641, FPR:  0.0024, TPR:  0.9207, EER:  0.0601, MCC:  0.9443, ACC:  0.9871, Test Time: 30.1376 s, Test Speed: 189132.62 PPS.
Epoch:  2, train loss:  0.1159, test loss:  0.0437, AUC:  0.9874, F1:  0.9732, Percision:  0.9876, Recall:  0.9600, F2:  0.9651, FPR:  0.0018, TPR:  0.9218, EER:  0.0593, MCC:  0.9472, ACC:  0.9877, Test Time: 30.5482 s, Test Speed: 186590.48 PPS.
Epoch:  3, train loss:  0.1115, test loss:  0.0428, AUC:  0.9886, F1:  0.9735, Percision:  0.9883, Recall:  0.9599, F2:  0.9652, FPR:  0.0016, TPR:  0.9214, EER:  0.0575, MCC:  0.9478, ACC:  0.9879, Test Time: 30.1801 s, Test Speed: 188866.18 PPS.
Epoch:  4, train loss:  0.1093, test loss:  0.0413, AUC:  0.9887, F1:  0.9745, Percision:  0.9903, Recall:  0.9601, F2:  0.9657, FPR:  0.0010, TPR:  0.9213, EER:  0.0571, MCC:  0.9500, ACC:  0.9884, Test Time: 30.0801 s, Test Speed: 189493.82 PPS.
Epoch:  5, train loss:  0.1070, test loss:  0.0405, AUC:  0.9892, F1:  0.9750, Percision:  0.9907, Recall:  0.9607, F2:  0.9663, FPR:  0.0009, TPR:  0.9223, EER:  0.0563, MCC:  0.9510, ACC:  0.9886, Test Time: 29.5177 s, Test Speed: 193104.69 PPS.
Epoch:  6, train loss:  0.1060, test loss:  0.1288, AUC:  0.9838, F1:  0.9031, Percision:  0.9706, Recall:  0.8573, F2:  0.8736, FPR:  0.0018, TPR:  0.7163, EER:  0.0672, MCC:  0.8200, ACC:  0.9597, Test Time: 29.4000 s, Test Speed: 193877.36 PPS.
Epoch:  7, train loss:  0.1048, test loss:  0.0428, AUC:  0.9889, F1:  0.9734, Percision:  0.9877, Recall:  0.9603, F2:  0.9654, FPR:  0.0019, TPR:  0.9225, EER:  0.0567, MCC:  0.9476, ACC:  0.9878, Test Time: 36.2585 s, Test Speed: 157204.41 PPS.
Epoch:  8, train loss:  0.1038, test loss:  0.0395, AUC:  0.9896, F1:  0.9756, Percision:  0.9917, Recall:  0.9609, F2:  0.9666, FPR:  0.0007, TPR:  0.9225, EER:  0.0559, MCC:  0.9521, ACC:  0.9888, Test Time: 29.4229 s, Test Speed: 193726.34 PPS.
Epoch:  9, train loss:  0.1022, test loss:  0.0399, AUC:  0.9897, F1:  0.9754, Percision:  0.9914, Recall:  0.9608, F2:  0.9665, FPR:  0.0008, TPR:  0.9224, EER:  0.0554, MCC:  0.9517, ACC:  0.9887, Test Time: 40.8466 s, Test Speed: 139546.34 PPS.
Epoch: 10, train loss:  0.1020, test loss:  0.0390, AUC:  0.9896, F1:  0.9758, Percision:  0.9920, Recall:  0.9611, F2:  0.9668, FPR:  0.0006, TPR:  0.9227, EER:  0.0558, MCC:  0.9526, ACC:  0.9889, Test Time: 29.3253 s, Test Speed: 194371.53 PPS.
Epoch: 11, train loss:  0.1007, test loss:  0.0396, AUC:  0.9895, F1:  0.9755, Percision:  0.9914, Recall:  0.9609, F2:  0.9666, FPR:  0.0007, TPR:  0.9226, EER:  0.0552, MCC:  0.9518, ACC:  0.9888, Test Time: 29.5003 s, Test Speed: 193218.63 PPS.
Epoch: 12, train loss:  0.0992, test loss:  0.0446, AUC:  0.9895, F1:  0.9723, Percision:  0.9901, Recall:  0.9563, F2:  0.9625, FPR:  0.0009, TPR:  0.9135, EER:  0.0555, MCC:  0.9458, ACC:  0.9874, Test Time: 35.2102 s, Test Speed: 161884.82 PPS.
Epoch: 13, train loss:  0.0979, test loss:  0.0385, AUC:  0.9902, F1:  0.9761, Percision:  0.9926, Recall:  0.9610, F2:  0.9669, FPR:  0.0004, TPR:  0.9225, EER:  0.0550, MCC:  0.9531, ACC:  0.9891, Test Time: 22.3846 s, Test Speed: 254639.66 PPS.
Epoch: 14, train loss:  0.0968, test loss:  0.4236, AUC:  0.8386, F1:  0.6886, Percision:  0.9323, Recall:  0.6383, F2:  0.6504, FPR:  0.0015, TPR:  0.2781, EER:  0.2702, MCC:  0.4890, ACC:  0.9001, Test Time: 19.4117 s, Test Speed: 293636.97 PPS.
